t_s,car_x,car_z,e_y_m,e_psi_rad,theta_ref0_deg,theta_real_deg,theta_dot_kf_degs,theta_dot_raw_degs,error_deg,tau_Nm,speed_kmh,kappa_avg,loop_dt_ms
0.051,38.007,698.299,2.7397,0.00172,-68.755,-7.162,0.0,0.0,-61.593,-1.0,7.03,-1.9e-05,51.33
0.069,37.997,698.398,2.7403,0.0011,-68.755,-25.347,-143.239,0.0,-43.407,-1.7892,7.03,0.000268,16.7
0.147,37.988,698.497,2.7398,-0.02348,-68.755,-44.639,-363.71,0.0,-24.116,-0.7892,7.02,0.000268,44.45
0.218,37.982,698.602,2.736,-0.04372,-68.755,-57.597,-385.823,0.0,-11.158,0.2108,7.01,0.000268,64.92
0.321,37.978,698.724,2.7283,-0.08472,-68.755,-61.593,-259.168,0.0,-7.162,0.7991,6.99,0.000268,102.92
0.353,37.981,698.922,2.7062,-0.13103,-29.786,-51.705,-79.919,0.0,21.919,1.7991,6.99,0.000268,32.28
0.39,37.985,699.02,2.6927,-0.14227,-17.886,-38.087,197.757,0.0,20.201,0.866,7.0,0.000268,18.29
0.453,37.99,699.125,2.6785,-0.12321,-35.911,-28.834,272.357,0.0,-7.077,-0.134,6.99,0.000268,30.74
0.503,37.991,699.219,2.6681,-0.10326,-54.993,-30.016,185.068,0.0,-24.977,-1.134,7.0,0.000268,30.73
0.543,37.991,699.318,2.6586,-0.08766,-68.755,-42.789,-23.638,0.0,-25.966,-1.6597,7.0,0.000268,20.12
0.631,37.99,699.417,2.6502,-0.08798,-68.755,-57.093,-255.457,0.0,-11.662,-0.6597,6.99,0.000268,57.68
0.72,37.99,699.528,2.6395,-0.10187,-54.714,-65.383,-286.081,0.0,10.669,0.3403,6.99,0.000268,89.3
0.782,37.995,699.702,2.6178,-0.14948,-6.414,-67.573,-165.81,0.0,61.159,0.5624,6.99,0.000268,61.54
0.847,38.003,699.823,2.5979,-0.17915,24.105,-67.573,-43.797,0.0,91.678,0.2293,6.99,0.000268,64.53
0.869,38.015,699.945,2.575,-0.20186,47.736,-58.769,0.0,0.0,106.504,1.2293,6.96,6.1e-05,22.87
0.915,38.025,700.032,2.5573,-0.20283,49.71,-37.841,176.087,0.0,87.552,2.0,6.96,6.1e-05,18.32
0.968,38.035,700.13,2.5379,-0.18304,31.296,-13.997,418.544,0.0,45.293,1.1378,6.97,6.1e-05,20.26
1.016,38.042,700.229,2.5214,-0.14418,-6.195,4.873,476.885,0.0,-11.068,0.1378,7.0,6.1e-05,18.0
1.066,38.045,700.328,2.5089,-0.09823,-50.893,12.85,377.401,0.0,-63.744,-0.8622,7.0,6.1e-05,17.87
1.115,38.043,700.427,2.5008,-0.06086,-68.755,5.496,159.548,0.0,-74.251,-1.8622,6.99,6.1e-05,16.43
1.17,38.039,700.526,2.4956,-0.04775,-68.755,-14.343,-147.08,0.0,-54.412,-2.0,7.02,6.1e-05,20.7
1.238,38.034,700.626,2.4906,-0.0607,-68.755,-36.939,-396.789,0.0,-31.816,-1.0774,7.02,6.1e-05,38.93
1.34,38.032,700.726,2.4831,-0.08955,-57.958,-54.441,-451.922,0.0,-3.517,-0.0774,7.0,6.1e-05,90.75
1.382,38.038,700.9,2.4606,-0.16116,14.149,-61.397,-350.032,0.0,75.547,0.8615,7.01,6.1e-05,41.32
1.419,38.045,700.993,2.4442,-0.20191,55.347,-53.283,-139.13,0.0,108.631,1.8615,7.03,6.1e-05,28.12
1.459,38.058,701.099,2.4209,-0.22985,68.755,-32.873,162.287,0.0,101.628,2.0,7.28,6.1e-05,18.22
1.509,38.072,701.203,2.3978,-0.2086,64.615,-4.466,408.194,0.0,69.081,1.8292,7.5,6.1e-05,18.19
1.56,38.082,701.311,2.3772,-0.17446,32.14,22.779,568.156,0.0,9.361,0.8292,7.69,6.1e-05,18.72
1.63,38.088,701.422,2.3606,-0.12235,-18.456,41.989,544.889,0.0,-60.445,-0.1708,8.08,6.1e-05,38.3
1.669,38.087,701.542,2.3496,-0.07193,-67.295,48.011,384.199,0.0,-115.306,-1.1708,8.72,0.000157,27.28
1.709,38.082,701.655,2.344,-0.02695,-68.755,38.203,120.442,0.0,-106.958,-2.0,9.36,0.000157,17.06
1.759,38.071,701.792,2.342,-0.00538,-68.755,16.524,-196.148,0.0,-85.279,-2.0,9.98,0.000157,16.65
1.806,38.058,701.938,2.341,-0.0144,-68.755,-9.658,-433.59,0.0,-59.097,-1.3854,10.65,0.000157,13.48
1.946,38.047,702.093,2.3368,-0.04534,-68.755,-32.054,-523.633,0.0,-36.701,-0.3854,11.29,0.000157,103.06
1.97,38.041,702.433,2.3103,-0.1058,-31.623,-44.449,-447.926,0.0,12.826,0.6146,12.66,0.000157,23.59
2.019,38.045,702.617,2.2881,-0.14108,4.585,-42.182,-247.907,0.0,46.767,1.6146,13.35,0.000157,22.74
2.067,38.057,702.81,2.2575,-0.17566,40.565,-26.158,45.347,0.0,66.723,2.0,13.81,0.000157,19.84
2.111,38.074,703.007,2.2219,-0.18437,51.182,-2.068,320.489,0.0,53.251,1.6854,14.04,-3.4e-05,14.38
2.165,38.089,703.195,2.1885,-0.16653,35.522,20.908,481.787,0.0,14.614,0.6854,14.32,-3.4e-05,17.96
2.216,38.101,703.399,2.1573,-0.13523,6.436,35.887,459.522,0.0,-29.451,-0.3146,14.42,-3.4e-05,18.23
2.269,38.105,703.602,2.1338,-0.09338,-33.658,37.706,299.583,0.0,-71.364,-1.3146,14.2,-3.4e-05,20.97
2.315,38.1,703.79,2.1199,-0.05129,-68.755,24.747,36.389,0.0,-93.502,-2.0,14.17,-3.4e-05,16.38
2.367,38.089,703.99,2.1118,-0.03257,-68.755,0.704,-259.187,0.0,-69.459,-2.0,14.07,-3.4e-05,18.17
