t_s,e_y_m,theta_ref0_deg,theta_real_deg,tau_Nm,v_real_kmh,v_target_kmh,u_cmd,gas,brake,loop_dt_ms
0.049,2.4921,68.755,7.162,1.0,0.0,75.6,1.0,1.0,0.0,48.44
0.071,2.4921,68.755,25.347,1.7892,0.01,75.6,1.0,1.0,0.0,21.09
0.134,2.4923,68.755,44.639,0.7892,0.01,75.6,1.0,1.0,0.0,33.18
0.244,2.4924,68.755,57.597,-0.2108,0.02,75.6,1.0,1.0,0.0,92.42
0.348,2.4924,68.755,61.593,-0.7991,0.0,75.6,1.0,1.0,0.0,104.21
0.365,2.4926,68.755,62.964,-0.227,0.0,75.6,1.0,1.0,0.0,16.52
0.411,2.4927,68.755,64.567,0.0802,0.0,75.6,1.0,1.0,0.0,12.75
0.463,2.4927,68.755,66.031,0.0365,0.0,75.6,1.0,1.0,0.0,14.66
0.512,2.4927,68.755,66.955,-0.0242,0.0,75.6,1.0,1.0,0.0,12.83
0.573,2.4928,68.755,67.518,-0.0183,0.0,75.6,1.0,1.0,0.0,23.04
0.618,2.4928,68.755,67.906,-0.0047,0.0,75.6,1.0,1.0,0.0,17.97
0.662,2.4928,68.755,68.179,-0.0025,0.0,75.6,1.0,1.0,0.0,11.45
0.71,2.4928,68.755,68.364,-0.0026,0.0,75.6,1.0,1.0,0.0,9.12
0.76,2.4928,68.755,68.49,-0.0019,0.0,75.6,1.0,1.0,0.0,9.05
0.81,2.4937,68.755,68.575,-0.0013,0.88,75.6,1.0,1.0,0.0,9.05
0.861,2.496,68.755,68.633,-0.0008,1.77,75.6,1.0,1.0,0.0,9.01
0.933,2.4999,-68.755,61.508,-1.0008,2.61,75.6,1.0,1.0,0.0,30.57
0.975,2.5063,-68.755,41.841,-2.0,3.41,75.6,1.0,1.0,0.0,22.02
1.027,2.5142,-68.755,12.766,-2.0,4.17,75.6,1.0,1.0,0.0,23.73
1.092,2.5244,-68.755,-16.464,-1.0365,4.91,75.6,1.0,1.0,0.0,38.59
1.146,2.5346,-68.755,-38.648,-0.0365,5.62,75.6,1.0,1.0,0.0,42.18
1.258,2.5448,-68.755,-48.385,0.9635,6.38,75.6,1.0,1.0,0.0,103.84
1.276,2.5644,-68.755,-53.952,0.2425,7.97,75.6,1.0,1.0,0.0,18.03
1.326,2.5718,-68.755,-58.533,-0.0568,8.76,75.6,1.0,1.0,0.0,16.86
